,Crop,Site,Year,Rotation,Rate,yield_obs,sd_obs
195,maize,Sutherland,2006,CC,270,9098.7054,764.6604
196,maize,Sutherland,2006,SC,270,10701.4788,409.3256
197,maize,Sutherland,2007,CC,270,10684.5282,1158.9188
198,maize,Sutherland,2007,SC,270,12341.9202,542.4192
199,maize,Sutherland,2008,CC,270,11648.829,92.9144
200,maize,Sutherland,2008,SC,270,14568.7268,300.0884
201,maize,Sutherland,2009,CC,270,10968.2938,295.066
202,maize,Sutherland,2009,SC,270,13695.457,681.163
203,maize,Sutherland,2010,CC,270,13490.7942,675.5128
204,maize,Sutherland,2010,SC,270,13750.7034,436.321
205,maize,Sutherland,2011,CC,270,10052.3336,1302.0572
206,maize,Sutherland,2011,SC,270,11203.091,1230.488
207,maize,Sutherland,2012,CC,270,11538.964,1444.5678
208,maize,Sutherland,2012,SC,270,14959.2184,661.0734
209,maize,Sutherland,2013,CC,270,13546.0406,1111.206
210,maize,Sutherland,2013,SC,270,14959.2184,1056.5874
211,maize,Sutherland,2014,CC,270,12147.93,647.8896
212,maize,Sutherland,2014,SC,270,13005.5048,646.634
213,maize,Sutherland,2015,CC,270,13320.6604,580.0872
214,maize,Sutherland,2015,SC,270,14101.6436,573.8092
215,maize,Sutherland,2016,CC,270,14958.5906,807.9786
216,maize,Sutherland,2016,SC,270,15936.703,692.4634
