site,year,crop,rotation,NR,sd_buac
Ames,2004,corn,SC,240,11.4
Ames,2004,soybean,SC,0,1.82
Ames,2004,soybean,SC,60,2.21
Ames,2004,soybean,SC,120,1.42
Ames,2004,soybean,SC,180,2.79
Ames,2004,soybean,SC,240,1.61
Ames,2005,corn,CC,0,14.79
Ames,2005,corn,CC,60,11.2
Ames,2005,corn,CC,120,24.13
Ames,2005,corn,CC,180,14.71
Ames,2005,corn,CC,240,9.82
Ames,2005,corn,SC,0,5.33
Ames,2005,corn,SC,60,7.04
Ames,2005,corn,SC,120,12.69
Ames,2005,corn,SC,180,9.7
Ames,2005,corn,SC,240,8.49
Ames,2005,soybean,SC,0,1.7
Ames,2005,soybean,SC,60,4.33
Ames,2005,soybean,SC,120,1.9
Ames,2005,soybean,SC,180,3.66
Ames,2005,soybean,SC,240,3.4
Ames,2006,corn,CC,0,8.11
Ames,2006,corn,CC,60,11.27
Ames,2006,corn,CC,120,13.22
Ames,2006,corn,CC,180,13.01
Ames,2006,corn,CC,240,13.51
Ames,2006,corn,SC,0,17.58
Ames,2006,corn,SC,60,26.7
Ames,2006,corn,SC,120,6.57
Ames,2006,corn,SC,180,15.5
Ames,2006,corn,SC,240,10.05
Ames,2006,soybean,SC,0,3.24
Ames,2006,soybean,SC,60,2.14
Ames,2006,soybean,SC,120,2.58
Ames,2006,soybean,SC,180,1.87
Ames,2006,soybean,SC,240,2.41
Ames,2007,corn,CC,0,13.21
Ames,2007,corn,CC,60,13.94
Ames,2007,corn,CC,120,11.71
Ames,2007,corn,CC,180,7.61
Ames,2007,corn,CC,240,3.29
Ames,2007,corn,SC,0,7.15
Ames,2007,corn,SC,60,9.84
Ames,2007,corn,SC,120,13.39
Ames,2007,corn,SC,180,6.47
Ames,2007,corn,SC,240,16.78
Ames,2007,soybean,SC,0,1.2
Ames,2007,soybean,SC,60,0.76
Ames,2007,soybean,SC,120,1.53
Ames,2007,soybean,SC,180,2.07
Ames,2007,soybean,SC,240,2.36
Ames,2008,corn,CC,0,11.83
Ames,2008,corn,CC,60,18.55
Ames,2008,corn,CC,120,17.14
Ames,2008,corn,CC,180,23.53
Ames,2008,corn,CC,240,13.64
Ames,2008,corn,SC,0,14.51
Ames,2008,corn,SC,60,8.12
Ames,2008,corn,SC,120,13.31
Ames,2008,corn,SC,180,3.58
Ames,2008,corn,SC,240,4.03
Ames,2008,soybean,SC,0,1.2
Ames,2008,soybean,SC,60,5.65
Ames,2008,soybean,SC,120,6.21
Ames,2008,soybean,SC,180,2.19
Ames,2008,soybean,SC,240,2.93
Ames,2009,corn,CC,0,9.34
Ames,2009,corn,CC,60,10.57
Ames,2009,corn,CC,120,3.52
Ames,2009,corn,CC,180,4.08
Ames,2009,corn,CC,240,5.88
Ames,2009,corn,SC,0,9.96
Ames,2009,corn,SC,60,12.06
Ames,2009,corn,SC,120,6.3
Ames,2009,corn,SC,180,6.29
Ames,2009,corn,SC,240,10.53
Ames,2009,soybean,SC,0,0.75
Ames,2009,soybean,SC,60,1.41
Ames,2009,soybean,SC,120,2.28
Ames,2009,soybean,SC,180,0.58
Ames,2009,soybean,SC,240,3.03
Ames,2010,corn,CC,0,7.84
Ames,2010,corn,CC,60,7.61
Ames,2010,corn,CC,120,8.96
Ames,2010,corn,CC,180,9.62
Ames,2010,corn,CC,240,11.33
Ames,2010,corn,SC,0,6.46
Ames,2010,corn,SC,60,8.27
Ames,2010,corn,SC,120,6.28
Ames,2010,corn,SC,180,6.96
Ames,2010,corn,SC,240,2.9
Ames,2010,soybean,SC,0,1.17
Ames,2010,soybean,SC,60,1.68
Ames,2010,soybean,SC,120,4.55
Ames,2010,soybean,SC,180,3.24
Ames,2010,soybean,SC,240,2.37
Ames,2011,corn,CC,0,10.26
Ames,2011,corn,CC,60,2.49
Ames,2011,corn,CC,120,3.4
Ames,2011,corn,CC,180,1.66
Ames,2011,corn,CC,240,5.26
Ames,2011,corn,SC,0,14.06
Ames,2011,corn,SC,60,6.71
Ames,2011,corn,SC,120,5.69
Ames,2011,corn,SC,180,6.77
Ames,2011,corn,SC,240,2.54
Ames,2011,soybean,SC,0,3.27
Ames,2011,soybean,SC,60,1.62
Ames,2011,soybean,SC,120,2.54
Ames,2011,soybean,SC,180,2.73
Ames,2011,soybean,SC,240,4.16
Ames,2012,corn,CC,0,7.59
Ames,2012,corn,CC,60,26.19
Ames,2012,corn,CC,120,3.12
Ames,2012,corn,CC,180,8.87
Ames,2012,corn,CC,240,21.24
Ames,2012,corn,SC,0,20.7
Ames,2012,corn,SC,60,10.29
Ames,2012,corn,SC,120,17.45
Ames,2012,corn,SC,180,10.1
Ames,2012,corn,SC,240,10.55
Ames,2012,soybean,SC,0,2.67
Ames,2012,soybean,SC,60,2.64
Ames,2012,soybean,SC,120,4.1
Ames,2012,soybean,SC,180,1.54
Ames,2012,soybean,SC,240,3.75
Ames,2013,corn,CC,0,24.07
Ames,2013,corn,CC,60,25.61
Ames,2013,corn,CC,120,10.03
Ames,2013,corn,CC,180,19.46
Ames,2013,corn,CC,240,13.38
Ames,2013,corn,SC,0,15.48
Ames,2013,corn,SC,60,7.12
Ames,2013,corn,SC,120,6.91
Ames,2013,corn,SC,180,7.03
Ames,2013,corn,SC,240,7.62
Ames,2013,soybean,SC,0,5.46
Ames,2013,soybean,SC,60,2.84
Ames,2013,soybean,SC,120,5.58
Ames,2013,soybean,SC,180,5.07
Ames,2013,soybean,SC,240,2.38
Ames,2014,corn,CC,0,7.33
Ames,2014,corn,CC,60,1.64
Ames,2014,corn,CC,120,12.82
Ames,2014,corn,CC,180,12.29
Ames,2014,corn,CC,240,11.34
Ames,2014,corn,SC,0,6.63
Ames,2014,corn,SC,60,9.93
Ames,2014,corn,SC,120,8.43
Ames,2014,corn,SC,180,10.64
Ames,2014,corn,SC,240,5.81
Ames,2014,soybean,SC,0,3.37
Ames,2014,soybean,SC,60,6.09
Ames,2014,soybean,SC,120,4.25
Ames,2014,soybean,SC,180,2.17
Ames,2014,soybean,SC,240,7.52
Ames,2015,corn,CC,0,13.29
Ames,2015,corn,CC,60,11.36
Ames,2015,corn,CC,120,22.63
Ames,2015,corn,CC,180,17.36
Ames,2015,corn,CC,240,5.27
Ames,2015,corn,SC,0,8.15
Ames,2015,corn,SC,60,5.46
Ames,2015,corn,SC,120,10.81
Ames,2015,corn,SC,180,4.09
Ames,2015,corn,SC,240,10.92
Ames,2015,soybean,SC,0,5.76
Ames,2015,soybean,SC,60,2.11
Ames,2015,soybean,SC,120,2.46
Ames,2015,soybean,SC,180,4.52
Ames,2015,soybean,SC,240,1.51
Ames,2016,corn,CC,0,14.05
Ames,2016,corn,CC,60,8.73
Ames,2016,corn,CC,120,3.65
Ames,2016,corn,CC,180,5.72
Ames,2016,corn,CC,240,9.55
Ames,2016,corn,SC,0,8.22
Ames,2016,corn,SC,60,5.99
Ames,2016,corn,SC,120,10.87
Ames,2016,corn,SC,180,10.61
Ames,2016,corn,SC,240,8.22
Ames,2016,soybean,SC,0,4.1
Ames,2016,soybean,SC,60,4.02
Ames,2016,soybean,SC,120,1.92
Ames,2016,soybean,SC,180,2.57
Ames,2016,soybean,SC,240,3.5
Lewis,2001,corn,CC,0,19.34
Lewis,2001,corn,CC,40,6.49
Lewis,2001,corn,CC,80,11.05
Lewis,2001,corn,CC,120,11.76
Lewis,2001,corn,CC,160,6.51
Lewis,2001,corn,CC,200,8.25
Lewis,2001,corn,CC,240,8.89
Lewis,2001,corn,SC,0,9.64
Lewis,2001,corn,SC,40,1.64
Lewis,2001,corn,SC,80,11.47
Lewis,2001,corn,SC,120,15.31
Lewis,2001,corn,SC,160,10.58
Lewis,2001,corn,SC,200,16.52
Lewis,2001,corn,SC,240,14.23
Lewis,2001,soybean,SC,0,1.19
Lewis,2001,soybean,SC,40,1.62
Lewis,2001,soybean,SC,80,2.17
Lewis,2001,soybean,SC,120,2.37
Lewis,2001,soybean,SC,160,2.98
Lewis,2001,soybean,SC,200,1.9
Lewis,2001,soybean,SC,240,1.18
Lewis,2002,corn,CC,0,6.26
Lewis,2002,corn,CC,40,10.12
Lewis,2002,corn,CC,80,19.46
Lewis,2002,corn,CC,120,11.97
Lewis,2002,corn,CC,160,21.3
Lewis,2002,corn,CC,200,12.19
Lewis,2002,corn,CC,240,20.12
Lewis,2002,corn,SC,0,18.64
Lewis,2002,corn,SC,40,16.59
Lewis,2002,corn,SC,80,16.72
Lewis,2002,corn,SC,120,28.89
Lewis,2002,corn,SC,160,9.47
Lewis,2002,corn,SC,200,21.5
Lewis,2002,corn,SC,240,18.25
Lewis,2002,soybean,SC,0,3.15
Lewis,2002,soybean,SC,40,1.65
Lewis,2002,soybean,SC,80,2.24
Lewis,2002,soybean,SC,120,3.52
Lewis,2002,soybean,SC,160,4.87
Lewis,2002,soybean,SC,200,4.02
Lewis,2002,soybean,SC,240,4.76
Lewis,2003,corn,CC,0,14.92
Lewis,2003,corn,CC,40,26.96
Lewis,2003,corn,CC,80,18.97
Lewis,2003,corn,CC,120,17.99
Lewis,2003,corn,CC,160,12.31
Lewis,2003,corn,CC,200,22.29
Lewis,2003,corn,CC,240,14.32
Lewis,2003,corn,SC,0,6.05
Lewis,2003,corn,SC,40,6.06
Lewis,2003,corn,SC,80,3.37
Lewis,2003,corn,SC,120,11.02
Lewis,2003,corn,SC,160,5.85
Lewis,2003,corn,SC,200,15.85
Lewis,2003,corn,SC,240,7.22
Lewis,2003,soybean,SC,0,2.98
Lewis,2003,soybean,SC,40,1.91
Lewis,2003,soybean,SC,80,2.13
Lewis,2003,soybean,SC,120,2.63
Lewis,2003,soybean,SC,160,2.91
Lewis,2003,soybean,SC,200,1.61
Lewis,2003,soybean,SC,240,1.23
Lewis,2004,corn,CC,0,7.58
Lewis,2004,corn,CC,40,8.75
Lewis,2004,corn,CC,80,12.19
Lewis,2004,corn,CC,120,6.69
Lewis,2004,corn,CC,160,4.1
Lewis,2004,corn,CC,200,9.04
Lewis,2004,corn,CC,240,4.74
Lewis,2004,corn,SC,0,3.81
Lewis,2004,corn,SC,40,6.35
Lewis,2004,corn,SC,80,8.17
Lewis,2004,corn,SC,120,1.59
Lewis,2004,corn,SC,160,6.62
Lewis,2004,corn,SC,200,6.74
Lewis,2004,corn,SC,240,4.66
Lewis,2004,soybean,SC,0,0.62
Lewis,2004,soybean,SC,40,1
Lewis,2004,soybean,SC,80,2.22
Lewis,2004,soybean,SC,120,0.68
Lewis,2004,soybean,SC,160,2.45
Lewis,2004,soybean,SC,200,1.53
Lewis,2004,soybean,SC,240,1.87
Lewis,2005,corn,CC,0,3.84
Lewis,2005,corn,CC,40,6.09
Lewis,2005,corn,CC,80,13.6
Lewis,2005,corn,CC,120,8.66
Lewis,2005,corn,CC,160,6.64
Lewis,2005,corn,CC,200,6.33
Lewis,2005,corn,CC,240,9.46
Lewis,2005,corn,SC,0,8.24
Lewis,2005,corn,SC,40,14.07
Lewis,2005,corn,SC,80,8.43
Lewis,2005,corn,SC,120,4.64
Lewis,2005,corn,SC,160,4.27
Lewis,2005,corn,SC,200,6.82
Lewis,2005,corn,SC,240,9.03
Lewis,2005,soybean,SC,0,2.31
Lewis,2005,soybean,SC,40,4.18
Lewis,2005,soybean,SC,80,0.81
Lewis,2005,soybean,SC,120,2.58
Lewis,2005,soybean,SC,160,4.37
Lewis,2005,soybean,SC,200,0.77
Lewis,2005,soybean,SC,240,3.32
Lewis,2006,corn,CC,0,4.09
Lewis,2006,corn,CC,40,7.15
Lewis,2006,corn,CC,80,6.58
Lewis,2006,corn,CC,120,11.61
Lewis,2006,corn,CC,160,10.68
Lewis,2006,corn,CC,200,4.59
Lewis,2006,corn,CC,240,11.76
Lewis,2006,corn,SC,0,14.64
Lewis,2006,corn,SC,40,15.83
Lewis,2006,corn,SC,80,4.35
Lewis,2006,corn,SC,120,4.91
Lewis,2006,corn,SC,160,5.6
Lewis,2006,corn,SC,200,23.24
Lewis,2006,corn,SC,240,15.1
Lewis,2006,soybean,SC,0,4
Lewis,2006,soybean,SC,40,1.24
Lewis,2006,soybean,SC,80,3.15
Lewis,2006,soybean,SC,120,0.7
Lewis,2006,soybean,SC,160,6.98
Lewis,2006,soybean,SC,200,3.99
Lewis,2006,soybean,SC,240,3.01
Lewis,2007,corn,CC,0,5.47
Lewis,2007,corn,CC,40,4.13
Lewis,2007,corn,CC,80,8.18
Lewis,2007,corn,CC,120,5.31
Lewis,2007,corn,CC,160,17.14
Lewis,2007,corn,CC,200,2.7
Lewis,2007,corn,CC,240,1.62
Lewis,2007,corn,SC,0,9.16
Lewis,2007,corn,SC,40,9.19
Lewis,2007,corn,SC,80,5.53
Lewis,2007,corn,SC,120,2.91
Lewis,2007,corn,SC,160,8.25
Lewis,2007,corn,SC,200,4.02
Lewis,2007,corn,SC,240,3.75
Lewis,2007,soybean,SC,0,6.18
Lewis,2007,soybean,SC,40,4.9
Lewis,2007,soybean,SC,80,2.11
Lewis,2007,soybean,SC,120,3.61
Lewis,2007,soybean,SC,160,1.22
Lewis,2007,soybean,SC,200,0.03
Lewis,2007,soybean,SC,240,3.49
Lewis,2008,corn,CC,0,4.85
Lewis,2008,corn,CC,40,6.43
Lewis,2008,corn,CC,80,32.52
Lewis,2008,corn,CC,120,13.93
Lewis,2008,corn,CC,160,5.16
Lewis,2008,corn,CC,200,10.09
Lewis,2008,corn,CC,240,8.41
Lewis,2008,corn,SC,0,9.13
Lewis,2008,corn,SC,40,11.64
Lewis,2008,corn,SC,80,8.06
Lewis,2008,corn,SC,120,8.91
Lewis,2008,corn,SC,160,1.74
Lewis,2008,corn,SC,200,10.78
Lewis,2008,corn,SC,240,4.51
Lewis,2008,soybean,SC,0,12.83
Lewis,2008,soybean,SC,40,5.95
Lewis,2008,soybean,SC,80,2.51
Lewis,2008,soybean,SC,120,0.68
Lewis,2008,soybean,SC,160,10.35
Lewis,2008,soybean,SC,200,4.58
Lewis,2008,soybean,SC,240,3.05
Lewis,2009,corn,CC,0,10.2
Lewis,2009,corn,CC,40,8.42
Lewis,2009,corn,CC,80,10.99
Lewis,2009,corn,CC,120,5.75
Lewis,2009,corn,CC,160,6.52
Lewis,2009,corn,CC,200,8.07
Lewis,2009,corn,CC,240,4.05
Lewis,2009,corn,SC,0,19.55
Lewis,2009,corn,SC,40,4.48
Lewis,2009,corn,SC,80,6.2
Lewis,2009,corn,SC,120,6.12
Lewis,2009,corn,SC,160,11
Lewis,2009,corn,SC,200,5.02
Lewis,2009,corn,SC,240,6.21
Lewis,2009,soybean,SC,0,5.23
Lewis,2009,soybean,SC,40,4.76
Lewis,2009,soybean,SC,80,7.57
Lewis,2009,soybean,SC,120,3.85
Lewis,2009,soybean,SC,160,2.08
Lewis,2009,soybean,SC,200,2.61
Lewis,2009,soybean,SC,240,3.87
Lewis,2010,corn,CC,0,19.4
Lewis,2010,corn,CC,40,11.89
Lewis,2010,corn,CC,80,13.68
Lewis,2010,corn,CC,120,14.98
Lewis,2010,corn,CC,160,16.14
Lewis,2010,corn,CC,200,5.55
Lewis,2010,corn,CC,240,11.7
Lewis,2010,corn,SC,0,18.11
Lewis,2010,corn,SC,40,12.43
Lewis,2010,corn,SC,80,8.32
Lewis,2010,corn,SC,120,10.68
Lewis,2010,corn,SC,160,11.88
Lewis,2010,corn,SC,200,11.43
Lewis,2010,corn,SC,240,14.61
Lewis,2010,soybean,SC,0,2.54
Lewis,2010,soybean,SC,40,6.21
Lewis,2010,soybean,SC,80,5.37
Lewis,2010,soybean,SC,120,3.36
Lewis,2010,soybean,SC,160,1.48
Lewis,2010,soybean,SC,200,4.2
Lewis,2010,soybean,SC,240,3.61
Lewis,2011,corn,CC,0,3.03
Lewis,2011,corn,CC,40,4.18
Lewis,2011,corn,CC,80,8.2
Lewis,2011,corn,CC,120,7.49
Lewis,2011,corn,CC,160,14.29
Lewis,2011,corn,CC,200,5.94
Lewis,2011,corn,CC,240,13.46
Lewis,2011,corn,SC,0,6.47
Lewis,2011,corn,SC,40,5.1
Lewis,2011,corn,SC,80,17.93
Lewis,2011,corn,SC,120,6.41
Lewis,2011,corn,SC,160,13.72
Lewis,2011,corn,SC,200,13.38
Lewis,2011,corn,SC,240,7.76
Lewis,2011,soybean,SC,0,4.02
Lewis,2011,soybean,SC,40,1.81
Lewis,2011,soybean,SC,80,4.23
Lewis,2011,soybean,SC,120,5.17
Lewis,2011,soybean,SC,160,4.3
Lewis,2011,soybean,SC,200,2
Lewis,2011,soybean,SC,240,2.87
Lewis,2012,corn,CC,0,6.34
Lewis,2012,corn,CC,40,22.77
Lewis,2012,corn,CC,80,4.68
Lewis,2012,corn,CC,120,4.41
Lewis,2012,corn,CC,160,6.21
Lewis,2012,corn,CC,200,8.65
Lewis,2012,corn,CC,240,12.32
Lewis,2012,corn,SC,0,12.15
Lewis,2012,corn,SC,40,1.95
Lewis,2012,corn,SC,80,1.69
Lewis,2012,corn,SC,120,11.56
Lewis,2012,corn,SC,160,6.89
Lewis,2012,corn,SC,200,9.81
Lewis,2012,corn,SC,240,15.96
Lewis,2012,soybean,SC,0,6.16
Lewis,2012,soybean,SC,40,6.38
Lewis,2012,soybean,SC,80,5.63
Lewis,2012,soybean,SC,120,5.05
Lewis,2012,soybean,SC,160,7.38
Lewis,2012,soybean,SC,200,5.16
Lewis,2012,soybean,SC,240,2.14
Lewis,2013,corn,CC,0,15.62
Lewis,2013,corn,CC,40,13.47
Lewis,2013,corn,CC,80,7.78
Lewis,2013,corn,CC,120,18.98
Lewis,2013,corn,CC,160,8.13
Lewis,2013,corn,CC,200,18.86
Lewis,2013,corn,CC,240,9.21
Lewis,2013,corn,SC,0,22.12
Lewis,2013,corn,SC,40,17
Lewis,2013,corn,SC,80,16.66
Lewis,2013,corn,SC,120,19.12
Lewis,2013,corn,SC,160,27.53
Lewis,2013,corn,SC,200,10.41
Lewis,2013,corn,SC,240,9.11
Lewis,2013,soybean,SC,0,12.42
Lewis,2013,soybean,SC,40,2.19
Lewis,2013,soybean,SC,80,7.63
Lewis,2013,soybean,SC,120,8.48
Lewis,2013,soybean,SC,160,10.06
Lewis,2013,soybean,SC,200,5.51
Lewis,2013,soybean,SC,240,4.28
Lewis,2014,corn,CC,0,3.58
Lewis,2014,corn,CC,40,5.14
Lewis,2014,corn,CC,80,24.77
Lewis,2014,corn,CC,120,7.29
Lewis,2014,corn,CC,160,4.31
Lewis,2014,corn,CC,200,10.01
Lewis,2014,corn,CC,240,4.81
Lewis,2014,corn,SC,0,13.93
Lewis,2014,corn,SC,40,16.67
Lewis,2014,corn,SC,80,8.99
Lewis,2014,corn,SC,120,8.31
Lewis,2014,corn,SC,160,1.36
Lewis,2014,corn,SC,200,4.82
Lewis,2014,corn,SC,240,7.14
Lewis,2014,soybean,SC,0,2.69
Lewis,2014,soybean,SC,40,2.99
Lewis,2014,soybean,SC,80,2.47
Lewis,2014,soybean,SC,120,2.81
Lewis,2014,soybean,SC,160,0.43
Lewis,2014,soybean,SC,200,1.53
Lewis,2014,soybean,SC,240,2.49
Lewis,2015,corn,CC,0,5.31
Lewis,2015,corn,CC,40,8.73
Lewis,2015,corn,CC,80,11.94
Lewis,2015,corn,CC,120,19.39
Lewis,2015,corn,CC,160,10.77
Lewis,2015,corn,CC,200,12.87
Lewis,2015,corn,CC,240,13.5
Lewis,2015,corn,SC,0,2.61
Lewis,2015,corn,SC,40,10.5
Lewis,2015,corn,SC,80,10.01
Lewis,2015,corn,SC,120,16.25
Lewis,2015,corn,SC,160,12.52
Lewis,2015,corn,SC,200,14.92
Lewis,2015,corn,SC,240,12.32
Lewis,2015,soybean,SC,0,4.24
Lewis,2015,soybean,SC,40,2.6
Lewis,2015,soybean,SC,80,0.61
Lewis,2015,soybean,SC,120,1.01
Lewis,2015,soybean,SC,160,0.64
Lewis,2015,soybean,SC,200,4.1
Lewis,2015,soybean,SC,240,1.82
Lewis,2016,corn,CC,0,3.55
Lewis,2016,corn,CC,40,8.95
Lewis,2016,corn,CC,80,19.28
Lewis,2016,corn,CC,120,14.97
Lewis,2016,corn,CC,160,7.57
Lewis,2016,corn,CC,200,21.87
Lewis,2016,corn,CC,240,9.21
Lewis,2016,corn,SC,0,16.07
Lewis,2016,corn,SC,40,19.54
Lewis,2016,corn,SC,80,12.71
Lewis,2016,corn,SC,120,17.69
Lewis,2016,corn,SC,160,5.51
Lewis,2016,corn,SC,200,5.01
Lewis,2016,corn,SC,240,5.41
Lewis,2016,soybean,SC,0,8.52
Lewis,2016,soybean,SC,40,7.36
Lewis,2016,soybean,SC,80,4.62
Lewis,2016,soybean,SC,120,2.5
Lewis,2016,soybean,SC,160,6.55
Lewis,2016,soybean,SC,200,5.18
Lewis,2016,soybean,SC,240,4.16
McNay,1999,corn,CC,0,11.49
McNay,1999,corn,CC,40,7.44
McNay,1999,corn,CC,80,11.18
McNay,1999,corn,CC,120,18.89
McNay,1999,corn,CC,160,5.44
McNay,1999,corn,CC,200,6.05
McNay,1999,corn,CC,240,21.98
McNay,1999,corn,SC,0,7.7
McNay,1999,corn,SC,40,20.21
McNay,1999,corn,SC,80,16.26
McNay,1999,corn,SC,120,14.62
McNay,1999,corn,SC,160,20.29
McNay,1999,corn,SC,200,18.72
McNay,1999,corn,SC,240,21.14
McNay,1999,soybean,SC,0,2.88
McNay,1999,soybean,SC,40,0.32
McNay,1999,soybean,SC,80,5.19
McNay,1999,soybean,SC,120,1.99
McNay,1999,soybean,SC,160,2.67
McNay,1999,soybean,SC,200,7.11
McNay,1999,soybean,SC,240,5.63
McNay,2000,corn,CC,0,5.57
McNay,2000,corn,CC,40,9.44
McNay,2000,corn,CC,80,2.74
McNay,2000,corn,CC,120,5.44
McNay,2000,corn,CC,160,6.55
McNay,2000,corn,CC,200,5.85
McNay,2000,corn,CC,240,8.77
McNay,2000,corn,SC,0,9.27
McNay,2000,corn,SC,40,17.04
McNay,2000,corn,SC,80,8.7
McNay,2000,corn,SC,120,10.87
McNay,2000,corn,SC,160,6.74
McNay,2000,corn,SC,200,7.46
McNay,2000,corn,SC,240,2.74
McNay,2000,soybean,SC,0,6.25
McNay,2000,soybean,SC,40,7.13
McNay,2000,soybean,SC,80,3.6
McNay,2000,soybean,SC,120,3.28
McNay,2000,soybean,SC,160,4.85
McNay,2000,soybean,SC,200,6.1
McNay,2000,soybean,SC,240,7.94
McNay,2001,corn,CC,0,4.33
McNay,2001,corn,CC,40,15.68
McNay,2001,corn,CC,80,7.7
McNay,2001,corn,CC,120,22.74
McNay,2001,corn,CC,160,19.77
McNay,2001,corn,CC,200,32.09
McNay,2001,corn,CC,240,28.03
McNay,2001,corn,SC,0,3.72
McNay,2001,corn,SC,40,20.85
McNay,2001,corn,SC,80,23.9
McNay,2001,corn,SC,120,15.05
McNay,2001,corn,SC,160,17.38
McNay,2001,corn,SC,200,10.85
McNay,2001,corn,SC,240,10.84
McNay,2001,soybean,SC,0,2.23
McNay,2001,soybean,SC,40,1.74
McNay,2001,soybean,SC,80,1.6
McNay,2001,soybean,SC,120,1.88
McNay,2001,soybean,SC,160,1.24
McNay,2001,soybean,SC,200,2.19
McNay,2001,soybean,SC,240,1.65
McNay,2002,corn,CC,0,6.95
McNay,2002,corn,CC,40,6.37
McNay,2002,corn,CC,80,11.19
McNay,2002,corn,CC,120,15.16
McNay,2002,corn,CC,160,14.99
McNay,2002,corn,CC,200,11.1
McNay,2002,corn,CC,240,12.79
McNay,2002,corn,SC,0,6.23
McNay,2002,corn,SC,40,17.3
McNay,2002,corn,SC,80,12.44
McNay,2002,corn,SC,120,8.5
McNay,2002,corn,SC,160,10.85
McNay,2002,corn,SC,200,8.77
McNay,2002,corn,SC,240,4.96
McNay,2002,soybean,SC,0,0.85
McNay,2002,soybean,SC,40,3.57
McNay,2002,soybean,SC,80,2.68
McNay,2002,soybean,SC,120,4.33
McNay,2002,soybean,SC,160,2.28
McNay,2002,soybean,SC,200,1.15
McNay,2002,soybean,SC,240,3.49
McNay,2003,corn,CC,0,3.38
McNay,2003,corn,CC,40,6.95
McNay,2003,corn,CC,80,17.35
McNay,2003,corn,CC,120,25.3
McNay,2003,corn,CC,160,12.16
McNay,2003,corn,CC,200,14.55
McNay,2003,corn,CC,240,17.23
McNay,2003,corn,SC,0,8.77
McNay,2003,corn,SC,40,21.25
McNay,2003,corn,SC,80,10.08
McNay,2003,corn,SC,120,8.88
McNay,2003,corn,SC,160,12.98
McNay,2003,corn,SC,200,12.98
McNay,2003,corn,SC,240,14.28
McNay,2003,soybean,SC,0,3.78
McNay,2003,soybean,SC,40,3.03
McNay,2003,soybean,SC,80,4.47
McNay,2003,soybean,SC,120,2.81
McNay,2003,soybean,SC,160,3.77
McNay,2003,soybean,SC,200,4.52
